Row,addiction,arithmetic,arousal,attention,aversive,decisionMaking,defaultMode,emotions,eyeMovements,face,food,hearing,heartRate,imagery,language,memory,movement,navigation,pain,planning,pleasant,reading,reward,sleep,sound,spatial,tapping,theoryMind,touch,vision
amygdala,2.99000532777427e-07,8.687365783409157e-16,10.147711753845215,2.7456941205828734e-22,11.243745803833008,1.4314900909084827e-05,1.1599103345361073e-05,9.638858795166016,4.852577717429085e-07,12.846518516540527,5.1780500411987305,9.276026127769121e-12,2.088958740234375,0.0010261929128319025,1.1069438698996237e-07,9.580588340759277,0.016553707420825958,0.6978756189346313,0.057659637182950974,2.7464654994702187e-09,7.313020706176758,2.910277885348478e-07,7.441861629486084,2.3312957120324995e-10,1.482085829930535e-12,9.832535481613894e-15,0.01893499866127968,2.1754437966592377e-06,7.43247952073034e-08,1.924543830507039e-13
angular gyrus,1.6201260168505205e-14,8.34477424621582,2.480445346009219e-06,5.494217872619629,0.8101406693458557,1.8142455853603634e-12,12.677667617797852,5.772748863819288e-06,9.860918045043945,0.02813253179192543,2.363945627789632e-12,3.7500197887420654,7.762316180451312e-13,6.1421732902526855,5.887725830078125,9.145074844360352,6.789339065551758,5.583732604980469,5.812008384964429e-05,5.817890167236328,6.925467346263758e-07,7.328837871551514,0.0008500517578795552,8.189865638996707e-07,0.9706786870956421,7.072112083435059,4.656881332397461,7.015958309173584,6.8828840255737305,5.474796295166016
caudate,7.640105247497559,0.06920526921749115,3.3807201385498047,9.852584526015562e-07,5.7195048332214355,8.539023399353027,3.57300544706618e-09,4.6251113161588364e-08,7.0721443989896215e-06,5.506135281052593e-08,5.19763708114624,4.58633708788625e-09,2.5393876512680436e-07,0.00955458264797926,5.569227141677402e-05,6.436061382293701,0.0029288032092154026,5.475549221038818,3.255847215652466,5.757580757141113,2.6355156898498535,0.7542447447776794,27.47136878967285,0.005577875766903162,1.307347901047251e-07,1.2929231161251664e-05,4.705667972564697,3.721280154422857e-05,1.9612176060945785e-07,6.5143821665670544e-15
cerebellar cortex,1.0255690813064575,0.0,0.0,0.8968621492385864,3.4009971618652344,1.1156675815582275,0.0,0.8510369658470154,5.77601432800293,0.0,0.008441499434411526,0.0,0.0,0.0,0.0,5.08929967880249,8.937490463256836,0.0,6.833942413330078,0.0,0.7754259705543518,0.0,0.0,0.5418036580085754,0.5410891771316528,1.706856608390808,10.057883262634277,0.0,2.9917328357696533,0.0
cingulate gyrus frontal part,4.931069997837767e-05,3.600264335545944e-07,2.7316808700561523,7.752233614155557e-06,5.656553745269775,2.368790626525879,3.154958963394165,4.387133685668232e-06,5.753728160584615e-08,3.11892520274068e-13,1.1556588411331177,1.2689754136374631e-08,0.410584032535553,0.0012730483431369066,0.00010647098679328337,5.798466205596924,5.14815092086792,0.0010250982595607638,14.135437965393066,0.6328887343406677,0.29762405157089233,0.007589138578623533,5.336590766906738,8.334972676493635e-07,3.673064341569443e-08,2.104082341247704e-06,4.974203109741211,4.056132456753403e-05,2.060057369135393e-08,8.477611061017255e-25
cingulate gyrus parietal part,6.0457270592451096e-05,0.00010478169861016795,0.2347002476453781,5.291517779504318e-10,1.4560977220535278,0.8737751245498657,16.321975708007812,0.8348554372787476,6.655867099761963,6.073848091148193e-10,3.094987050644704e-06,0.7405555844306946,0.4610680639743805,0.4088902473449707,6.410695277736522e-06,5.201391220092773,4.873134613037109,2.258172035217285,5.97947359085083,0.0018089939840137959,0.2391515076160431,0.17209535837173462,5.281640529632568,0.06999033689498901,1.43303852942131e-13,0.0003373674408067018,5.262893199920654,9.429496765136719,0.0001827835221774876,7.188432391558308e-06
cingulate gyrus retrosplenial part,0.20317710936069489,0.00013038647011853755,3.0653805879410356e-05,6.711246684255878e-14,3.6917330703545304e-07,8.355467429055352e-08,9.82012939453125,0.0005622123717330396,6.588513315364253e-06,1.4385008739736804e-07,0.0002631250536069274,0.28006285429000854,1.916114330291748,0.3493023216724396,1.3232964874987374e-06,1.9377566576004028,0.0016310405917465687,7.6605544090271,0.27961254119873047,3.9592048389769374e-11,0.005481541622430086,1.297321148285846e-07,0.0017796657048165798,1.3587634384748526e-05,3.602054476914418e-08,0.00017977443349082023,2.6784069632412866e-05,2.710969924926758,1.8078492533286222e-13,4.139320886054065e-09
claustrum,0.015362546779215336,0.0011528093600645661,0.03134686127305031,9.119477908825502e-05,0.20982272922992706,5.257665634155273,8.798076156502077e-10,1.7226866483688354,0.003077368251979351,0.021801430732011795,4.985063076019287,0.00015340704703703523,0.4067479074001312,0.20727334916591644,1.8848172089747095e-07,6.969225883483887,6.542819499969482,0.020020654425024986,9.915205955505371,1.4375218152999878,0.001948638935573399,2.058261543425033e-06,11.644630432128906,1.4902699149388354e-05,0.0031981568317860365,2.3710065161219873e-11,3.6672732830047607,9.360969102090166e-07,0.017091192305088043,6.867265783805365e-11
cuneus,1.116495332098566e-05,6.734647750854492,4.551278520725788e-10,2.7857444286346436,0.012897633947432041,0.0009138876921497285,8.340620994567871,0.5106624960899353,6.418604850769043,2.4974124102072892e-08,1.8110596355924713e-11,3.243882940040521e-10,0.0001237820542883128,5.139434814453125,4.8174004554748535,5.0228190422058105,1.6083853244781494,6.422451019287109,3.2939062118530273,6.021428108215332,1.8191190958023071,6.7402849197387695,2.8544929975282685e-08,0.00025009800447151065,0.0012155192671343684,6.818472862243652,0.00013673867215402424,6.774696350097656,1.9218475818634033,7.106838703155518
dentate nucleus,0.00012846749450545758,0.0,0.0,1.7042690175772535e-11,1.5714870691299438,3.252156139874063e-12,0.0,1.9409579010698508e-07,6.371888594003394e-05,0.0,0.28549546003341675,0.0,0.0,0.0,0.0,1.457081832967333e-08,7.926384449005127,0.0,3.6631295680999756,0.0,0.00012717500794678926,0.0,0.0,3.5278267773719563e-07,4.901359458009459e-17,1.27740209521221e-08,5.638946056365967,0.0,0.181920126080513,0.0
